seq	start	end	product	substrate	composite	gc	result
NC_063025.1	65500	66500	1.07	1.11	-0.04	54.1	RIP_notaffected
NC_063025.1	66000	67000	1.2	1.02	0.18	55.5	RIP_notaffected
NC_063025.1	66500	67500	1.24	0.97	0.27	57.1	RIP_notaffected
NC_063025.1	67000	68000	1.21	1.07	0.14	57.2	RIP_notaffected
NC_063025.1	67500	68500	1.27	1.07	0.2	56.7	RIP_notaffected
NC_063025.1	68000	69000	1.46	0.95	0.51	55.0	RIP_notaffected
NC_063025.1	68500	69500	1.29	0.95	0.34	55.8	RIP_notaffected
NC_063025.1	69000	70000	1.29	0.97	0.31	56.6	RIP_notaffected
NC_063025.1	69500	70500	1.52	0.71	0.81	49.5	RIP_affected
NC_063025.1	70000	71000	1.6	0.3	1.3	41.2	RIP_affected
NC_063025.1	70500	71500	1.7	0.16	1.54	37.4	RIP_affected
NC_063025.1	71000	72000	1.82	0.18	1.64	33.0	RIP_affected
NC_063025.1	71500	72500	1.79	0.26	1.53	32.2	RIP_affected
NC_063025.1	72000	73000	1.78	0.25	1.53	35.2	RIP_affected
NC_063025.1	72500	73500	1.77	0.24	1.53	36.2	RIP_affected
NC_063025.1	73000	74000	1.7	0.24	1.46	37.4	RIP_affected
NC_063025.1	73500	74500	1.71	0.13	1.58	37.1	RIP_affected
NC_063025.1	74000	75000	1.66	0.22	1.44	34.8	RIP_affected
NC_063025.1	74500	75500	1.61	0.33	1.28	35.4	RIP_affected
NC_063025.1	75000	76000	1.65	0.25	1.4	36.8	RIP_affected
NC_063025.1	75500	76500	1.66	0.29	1.37	37.0	RIP_affected
NC_063025.1	76000	77000	1.63	0.29	1.33	38.7	RIP_affected
NC_063025.1	76500	77500	1.67	0.19	1.48	37.8	RIP_affected
NC_063025.1	77000	78000	1.79	0.14	1.66	33.6	RIP_affected
NC_063025.1	77500	78500	1.83	0.26	1.57	32.2	RIP_affected
NC_063025.1	78000	79000	1.74	0.26	1.47	34.2	RIP_affected
NC_063025.1	78500	79500	1.72	0.24	1.48	35.7	RIP_affected
NC_063025.1	79000	80000	1.69	0.25	1.44	37.2	RIP_affected
NC_063025.1	79500	80500	1.77	0.15	1.62	37.6	RIP_affected
NC_063025.1	80000	81000	1.75	0.19	1.56	35.5	RIP_affected
NC_063025.1	80500	81500	1.65	0.29	1.36	35.6	RIP_affected
NC_063025.1	81000	82000	1.6	0.27	1.33	36.5	RIP_affected
NC_063025.1	81500	82500	1.63	0.26	1.38	36.6	RIP_affected
NC_063025.1	82000	83000	1.54	0.33	1.21	38.6	RIP_affected
NC_063025.1	82500	83500	1.63	0.23	1.39	38.0	RIP_affected
NC_063025.1	83000	84000	1.87	0.13	1.74	34.1	RIP_affected
NC_063025.1	83500	84500	2.01	0.22	1.79	35.9	RIP_affected
NC_063025.1	84000	85000	2.07	0.27	1.79	41.6	RIP_affected
NC_063025.1	84500	85500	1.94	0.21	1.73	38.7	RIP_affected
NC_063025.1	85000	86000	1.8	0.2	1.61	35.3	RIP_affected
NC_063025.1	85500	86500	1.82	0.19	1.64	37.1	RIP_affected
NC_063025.1	86000	87000	1.8	0.12	1.67	36.6	RIP_affected
NC_063025.1	86500	87500	1.63	0.14	1.49	36.4	RIP_affected
NC_063025.1	87000	88000	1.52	0.24	1.29	37.2	RIP_affected
NC_063025.1	87500	88500	1.62	0.21	1.41	36.4	RIP_affected
NC_063025.1	88000	89000	1.68	0.13	1.56	35.8	RIP_affected
NC_063025.1	88500	89500	1.84	0.12	1.72	37.2	RIP_affected
NC_063025.1	89000	90000	2.05	0.13	1.92	38.7	RIP_affected
NC_063025.1	89500	90500	2.05	0.1	1.95	41.6	RIP_affected
NC_063025.1	90000	91000	2.2	0.07	2.12	44.0	RIP_affected
NC_063025.1	90500	91500	2.21	0.09	2.12	45.1	RIP_affected
NC_063025.1	91000	92000	2.26	0.11	2.16	45.3	RIP_affected
NC_063025.1	91500	92500	2.57	0.1	2.46	45.8	RIP_affected
NC_063025.1	92000	93000	2.44	0.06	2.37	44.7	RIP_affected
NC_063025.1	92500	93500	2.36	0.04	2.32	43.3	RIP_affected
NC_063025.1	93000	94000	2.17	0.06	2.11	44.8	RIP_affected
NC_063025.1	93500	94500	2.16	0.15	2.01	42.9	RIP_affected
NC_063025.1	94000	95000	2.28	0.21	2.07	41.7	RIP_affected
NC_063025.1	94500	95500	1.98	0.17	1.8	38.4	RIP_affected
NC_063025.1	95000	96000	1.88	0.21	1.67	39.9	RIP_affected
NC_063025.1	95500	96500	1.89	0.27	1.62	44.6	RIP_affected
NC_063025.1	96000	97000	1.92	0.23	1.69	42.0	RIP_affected
NC_063025.1	96500	97500	2.11	0.16	1.95	43.2	RIP_affected
NC_063025.1	97000	98000	2.13	0.16	1.97	44.8	RIP_affected
NC_063025.1	97500	98500	2.18	0.11	2.08	41.8	RIP_affected
NC_063025.1	98000	99000	2.11	0.07	2.04	42.4	RIP_affected
NC_063025.1	98500	99500	2.05	0.11	1.94	41.8	RIP_affected
NC_063025.1	99000	100000	1.95	0.09	1.85	38.3	RIP_affected
NC_063025.1	99500	100500	2.02	0.11	1.91	42.7	RIP_affected
NC_063025.1	100000	101000	2.25	0.12	2.13	46.2	RIP_affected
NC_063025.1	100500	101500	2.25	0.14	2.11	44.9	RIP_affected
NC_063025.1	101000	102000	2.34	0.16	2.19	44.6	RIP_affected
NC_063025.1	101500	102500	2.32	0.17	2.15	47.9	RIP_affected
NC_063025.1	102000	103000	2.33	0.18	2.16	46.6	RIP_affected
NC_063025.1	102500	103500	2.22	0.18	2.05	43.0	RIP_affected
NC_063025.1	103000	104000	2.16	0.23	1.93	44.9	RIP_affected
NC_063025.1	103500	104500	2.33	0.27	2.06	45.5	RIP_affected
NC_063025.1	104000	105000	2.33	0.29	2.03	43.3	RIP_affected
NC_063025.1	104500	105500	2.38	0.14	2.24	40.3	RIP_affected
NC_063025.1	105000	106000	2.29	0.04	2.24	39.6	RIP_affected
NC_063025.1	105500	106500	1.95	0.09	1.85	38.5	RIP_affected
NC_063025.1	106000	107000	1.75	0.15	1.61	38.9	RIP_affected
NC_063025.1	106500	107500	1.91	0.13	1.78	40.1	RIP_affected
NC_063025.1	107000	108000	2.18	0.22	1.96	41.9	RIP_affected
NC_063025.1	107500	108500	2.35	0.32	2.03	43.4	RIP_affected
NC_063025.1	108000	109000	2.18	0.25	1.94	43.9	RIP_affected
NC_063025.1	108500	109500	2.0	0.22	1.78	45.6	RIP_affected
NC_063025.1	109000	110000	2.3	0.2	2.1	44.9	RIP_affected
NC_063025.1	109500	110500	2.38	0.2	2.19	46.9	RIP_affected
NC_063025.1	110000	111000	2.46	0.16	2.3	47.3	RIP_affected
NC_063025.1	110500	111500	2.37	0.19	2.18	45.8	RIP_affected
NC_063025.1	111000	112000	2.25	0.2	2.04	45.2	RIP_affected
NC_063025.1	111500	112500	2.2	0.15	2.05	45.6	RIP_affected
NC_063025.1	112000	113000	1.89	0.13	1.76	41.5	RIP_affected
NC_063025.1	112500	113500	1.77	0.12	1.65	37.6	RIP_affected
NC_063025.1	113000	114000	1.96	0.12	1.84	39.2	RIP_affected
NC_063025.1	113500	114500	2.01	0.12	1.89	38.3	RIP_affected
NC_063025.1	114000	115000	1.76	0.27	1.49	42.5	RIP_affected
NC_063025.1	114500	115500	1.95	0.27	1.67	44.5	RIP_affected
NC_063025.1	115000	116000	2.1	0.22	1.88	39.8	RIP_affected
NC_063025.1	115500	116500	1.99	0.26	1.73	38.3	RIP_affected
NC_063025.1	116000	117000	2.11	0.21	1.9	41.1	RIP_affected
NC_063025.1	116500	117500	1.99	0.28	1.7	40.7	RIP_affected
NC_063025.1	117000	118000	1.9	0.36	1.54	37.8	RIP_affected
NC_063025.1	117500	118500	1.61	0.74	0.87	42.2	RIP_affected
NC_063025.1	118000	119000	1.09	1.28	-0.19	47.3	RIP_notaffected
NC_063025.1	118500	119500	1.17	1.24	-0.08	45.9	RIP_notaffected
NC_063025.1	119000	120000	1.17	1.2	-0.02	44.5	RIP_notaffected
NC_063025.1	119500	120500	0.98	1.13	-0.14	47.1	RIP_notaffected
NC_063025.1	120000	121000	0.92	1.18	-0.26	49.0	RIP_notaffected
NC_063025.1	120500	121500	0.98	1.3	-0.32	48.5	RIP_notaffected
NC_063025.1	121000	122000	0.9	1.3	-0.4	48.4	RIP_notaffected
NC_063025.1	121500	122500	0.76	1.49	-0.73	47.2	RIP_notaffected
NC_063025.1	122000	123000	0.85	1.26	-0.41	47.1	RIP_notaffected
NC_063025.1	122500	123500	1.42	0.78	0.64	48.1	RIP_notaffected
NC_063025.1	123000	124000	1.82	0.6	1.23	44.9	RIP_affected
NC_063025.1	123500	124500	1.68	0.74	0.95	47.3	RIP_affected
NC_063025.1	124000	125000	0.82	1.08	-0.26	51.1	RIP_notaffected
NC_063025.1	124500	125500	0.52	1.55	-1.02	49.2	RIP_notaffected
NC_063025.1	125000	126000	0.58	1.59	-1.01	48.5	RIP_notaffected
NC_063025.1	125500	126500	0.69	1.48	-0.78	49.8	RIP_notaffected
NC_063025.1	126000	127000	0.59	1.53	-0.94	49.8	RIP_notaffected
NC_063025.1	126500	127500	0.6	1.36	-0.76	49.6	RIP_notaffected
NC_063025.1	127000	128000	0.72	1.34	-0.62	48.9	RIP_notaffected
NC_063025.1	127500	128500	0.86	1.44	-0.58	47.1	RIP_notaffected
NC_063025.1	128000	129000	0.83	1.52	-0.69	48.8	RIP_notaffected
NC_063025.1	128500	129500	0.95	1.35	-0.4	48.8	RIP_notaffected
NC_063025.1	129000	130000	1.69	0.68	1.01	45.6	RIP_affected
NC_063025.1	129500	130500	2.12	0.17	1.95	43.2	RIP_affected
NC_063025.1	130000	131000	2.22	0.12	2.11	42.1	RIP_affected
NC_063025.1	130500	131500	2.52	0.11	2.41	43.0	RIP_affected
NC_063025.1	131000	132000	2.3	0.19	2.11	42.9	RIP_affected
NC_063025.1	131500	132500	2.08	0.31	1.77	43.8	RIP_affected
NC_063025.1	132000	133000	2.27	0.23	2.04	44.4	RIP_affected
NC_063025.1	132500	133500	2.2	0.12	2.08	40.7	RIP_affected
NC_063025.1	133000	134000	2.1	0.09	2.01	42.5	RIP_affected
NC_063025.1	133500	134500	2.11	0.09	2.01	43.4	RIP_affected
NC_063025.1	134000	135000	2.22	0.05	2.17	40.3	RIP_affected
NC_063025.1	134500	135500	2.04	0.39	1.64	48.4	RIP_affected
NC_063025.1	135000	136000	1.39	0.82	0.57	55.0	RIP_notaffected
NC_063025.1	135500	136500	0.82	1.04	-0.21	55.0	RIP_notaffected
NC_063025.1	136000	137000	0.6	1.22	-0.62	55.7	RIP_notaffected
NC_063025.1	136500	137500	0.97	1.07	-0.1	56.2	RIP_notaffected
NC_063025.1	137000	138000	1.19	0.97	0.22	55.1	RIP_notaffected
NC_063025.1	137500	138500	0.81	1.21	-0.4	52.9	RIP_notaffected
NC_063025.1	138000	139000	0.82	1.22	-0.4	52.3	RIP_notaffected
NC_063025.1	138500	139500	0.72	1.24	-0.53	50.4	RIP_notaffected
NC_063025.1	139000	140000	0.62	1.37	-0.75	49.9	RIP_notaffected
NC_063025.1	139500	140500	0.87	1.16	-0.29	51.5	RIP_notaffected
NC_063025.1	140000	141000	0.8	1.14	-0.34	52.3	RIP_notaffected
NC_063025.1	140500	141500	0.76	1.21	-0.46	52.6	RIP_notaffected
NC_063025.1	141000	142000	0.8	1.25	-0.45	53.1	RIP_notaffected
NC_063025.1	141500	142500	1.22	0.89	0.33	51.5	RIP_notaffected
NC_063025.1	142000	143000	1.97	0.32	1.65	45.7	RIP_affected
NC_063025.1	142500	143500	2.0	0.06	1.94	39.2	RIP_affected
NC_063025.1	143000	144000	2.07	0.2	1.87	43.8	RIP_affected
NC_063025.1	143500	144500	2.47	0.31	2.16	49.1	RIP_affected
NC_063025.1	144000	145000	2.06	0.45	1.62	44.8	RIP_affected
NC_063025.1	144500	145500	1.76	0.65	1.11	43.2	RIP_affected
NC_063025.1	145000	146000	1.86	0.72	1.14	45.2	RIP_affected
NC_063025.1	145500	146500	1.88	0.73	1.15	46.7	RIP_affected
NC_063025.1	146000	147000	1.83	0.46	1.36	43.1	RIP_affected
NC_063025.1	146500	147500	1.87	0.14	1.73	41.9	RIP_affected
NC_063025.1	147000	148000	2.02	0.11	1.92	44.5	RIP_affected
NC_063025.1	147500	148500	2.14	0.12	2.02	43.6	RIP_affected
NC_063025.1	148000	149000	2.2	0.15	2.05	43.8	RIP_affected
NC_063025.1	148500	149500	2.49	0.12	2.37	46.1	RIP_affected
NC_063025.1	149000	150000	2.38	0.09	2.29	46.3	RIP_affected
NC_063025.1	149500	150500	2.27	0.07	2.2	44.1	RIP_affected
NC_063025.1	150000	151000	2.3	0.18	2.12	42.7	RIP_affected
NC_063025.1	150500	151500	2.28	0.28	2.0	43.4	RIP_affected
NC_063025.1	151000	152000	2.1	0.33	1.78	45.6	RIP_affected
NC_063025.1	151500	152500	2.03	0.27	1.76	46.0	RIP_affected
NC_063025.1	152000	153000	2.16	0.21	1.95	45.2	RIP_affected
NC_063025.1	152500	153500	2.35	0.22	2.13	46.8	RIP_affected
NC_063025.1	153000	154000	2.43	0.25	2.18	49.1	RIP_affected
NC_063025.1	153500	154500	2.47	0.27	2.21	47.7	RIP_affected
NC_063025.1	154000	155000	2.22	0.22	2.0	45.5	RIP_affected
NC_063025.1	154500	155500	2.33	0.22	2.11	47.0	RIP_affected
NC_063025.1	155000	156000	2.26	0.21	2.04	46.9	RIP_affected
NC_063025.1	155500	156500	2.01	0.22	1.8	42.5	RIP_affected
NC_063025.1	156000	157000	2.25	0.17	2.08	41.5	RIP_affected
NC_063025.1	156500	157500	2.06	0.12	1.94	40.4	RIP_affected
NC_063025.1	157000	158000	1.92	0.16	1.76	38.9	RIP_affected
NC_063025.1	157500	158500	2.06	0.16	1.9	39.0	RIP_affected
NC_063025.1	158000	159000	1.97	0.13	1.84	35.2	RIP_affected
NC_063025.1	158500	159500	2.12	0.16	1.95	36.3	RIP_affected
NC_063025.1	159000	160000	2.19	0.16	2.03	39.4	RIP_affected
NC_063025.1	159500	160500	2.11	0.14	1.97	40.9	RIP_affected
NC_063025.1	160000	161000	1.95	0.23	1.73	37.8	RIP_affected
NC_063025.1	160500	161500	1.59	0.67	0.92	42.5	RIP_affected
NC_063025.1	161000	162000	1.43	0.95	0.48	53.0	RIP_notaffected
NC_063025.1	161500	162500	1.46	0.86	0.61	50.6	RIP_notaffected
NC_063025.1	162000	163000	1.69	0.71	0.97	49.0	RIP_affected
NC_063025.1	162500	163500	2.1	0.64	1.45	50.9	RIP_affected
NC_063025.1	163000	164000	1.78	0.56	1.22	46.1	RIP_affected
NC_063025.1	163500	164500	1.95	0.24	1.71	42.1	RIP_affected
NC_063025.1	164000	165000	2.25	0.11	2.14	42.6	RIP_affected
NC_063025.1	164500	165500	2.04	0.17	1.87	42.3	RIP_affected
NC_063025.1	165000	166000	2.3	0.13	2.17	43.7	RIP_affected
NC_063025.1	165500	166500	2.9	0.1	2.8	44.7	RIP_affected
NC_063025.1	166000	167000	2.63	0.1	2.53	45.2	RIP_affected
NC_063025.1	166500	167500	2.71	0.11	2.6	45.8	RIP_affected
NC_063025.1	167000	168000	2.45	0.16	2.3	44.9	RIP_affected
NC_063025.1	167500	168500	2.29	0.14	2.15	44.8	RIP_affected
NC_063025.1	168000	169000	2.45	0.12	2.32	44.4	RIP_affected
NC_063025.1	168500	169500	2.75	0.1	2.65	47.5	RIP_affected
NC_063025.1	169000	170000	2.76	0.08	2.67	48.7	RIP_affected
NC_063025.1	169500	170500	2.3	0.17	2.14	44.0	RIP_affected
NC_063025.1	170000	171000	2.05	0.19	1.86	41.9	RIP_affected
NC_063025.1	170500	171500	2.33	0.11	2.23	43.0	RIP_affected
NC_063025.1	171000	172000	2.49	0.1	2.39	44.5	RIP_affected
NC_063025.1	171500	172500	2.23	0.11	2.12	42.1	RIP_affected
NC_063025.1	172000	173000	2.16	0.08	2.08	40.5	RIP_affected
NC_063025.1	172500	173500	1.86	0.08	1.78	40.2	RIP_affected
NC_063025.1	173000	174000	1.89	0.14	1.75	41.4	RIP_affected
NC_063025.1	173500	174500	1.99	0.17	1.82	41.1	RIP_affected
NC_063025.1	174000	175000	1.85	0.15	1.7	38.2	RIP_affected
NC_063025.1	174500	175500	1.37	0.61	0.76	43.0	RIP_affected
NC_063025.1	175000	176000	0.74	1.1	-0.37	51.3	RIP_notaffected
NC_063025.1	175500	176500	0.7	1.12	-0.43	54.9	RIP_notaffected
NC_063025.1	176000	177000	0.76	1.14	-0.38	55.2	RIP_notaffected
NC_063025.1	176500	177500	0.81	1.25	-0.44	54.9	RIP_notaffected
NC_063025.1	177000	178000	0.78	1.4	-0.61	53.3	RIP_notaffected
NC_063025.1	177500	178500	0.88	1.22	-0.34	50.4	RIP_notaffected
NC_063025.1	178000	179000	0.94	1.07	-0.13	49.7	RIP_notaffected
NC_063025.1	178500	179500	0.91	1.09	-0.19	49.8	RIP_notaffected
NC_063025.1	179000	180000	0.71	1.07	-0.36	54.9	RIP_notaffected
NC_063025.1	179500	180500	0.69	1.19	-0.49	55.4	RIP_notaffected
NC_063025.1	180000	181000	0.84	1.2	-0.36	53.2	RIP_notaffected
NC_063025.1	180500	181500	0.66	1.21	-0.55	55.1	RIP_notaffected
NC_063025.1	181000	182000	0.66	1.17	-0.51	53.0	RIP_notaffected
NC_063025.1	181500	182500	0.65	0.99	-0.34	51.3	RIP_notaffected
NC_063025.1	182000	183000	0.77	0.9	-0.13	53.0	RIP_notaffected
NC_063025.1	182500	183500	0.55	1.14	-0.58	54.5	RIP_notaffected
NC_063025.1	183000	184000	0.44	1.39	-0.95	54.7	RIP_notaffected
NC_063025.1	183500	184500	0.63	1.31	-0.68	57.1	RIP_notaffected
NC_063025.1	184000	185000	0.82	1.08	-0.27	53.7	RIP_notaffected
NC_063025.1	184500	185500	0.83	1.08	-0.24	52.6	RIP_notaffected
